#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0E6ED
#Date Time: 2024-12-04 17:55:55.099
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: None
#Channel 1: Range: 2 V/div Offset: 2.502 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
0.008771756925015754,0.08450963779564624,-0.01808807611277313
0.008772386925015753,0.08450963779564791,-0.01775701307230758
0.008773016925015753,0.08815979002666685,-0.01775701307230758
0.008773646925015753,0.08815979002666685,-0.01709488699137615
0.008774276925015752,0.08085948556463182,-0.01709488699137585
0.008774906925015754,0.06260872440954028,-0.01577063482951241
0.008775536925015752,0.07720933333357757,-0.01577063482951241
0.008776166925015753,0.07720933333360414,-0.01610169786997797
0.008776796925015753,0.07720933333360414,-0.01543957178904655
0.008777426925015753,0.07355918110258475,-0.01643276091044368
0.008778056925015753,0.08815979002665357,-0.01577063482951301
0.008778686925015752,0.07355918110259636,-0.01643276091044353
0.008779316925015754,0.07720933333358422,-0.01643276091044323
0.008779946925015754,0.06260872440953365,-0.01577063482951181
0.008780576925015753,0.07720933333359252,-0.01510850874858084
0.008781206925015753,0.05165826771645765,-0.01543957178904655
0.008781836925015753,0.05530841994747705,-0.01543957178904655
0.008782466925015752,0.0553084199474787,-0.01543957178904655
0.008783096925015752,0.0553084199474787,-0.01345319354625409
0.008783726925015754,0.05895857217849644,-0.01543957178904564
0.008784356925015753,0.05530841994748202,-0.01444638266764911
0.008784986925015753,0.06260872440952037,-0.01477744570811482
0.008785616925015753,0.05530841994748202,-0.01477744570811482
0.008786246925015753,0.06260872440951373,-0.01477744570811482
0.008786876925015754,0.05165826771645267,-0.01279106746531966
0.008787506925015752,0.04800811548544368,-0.01279106746531966
0.008788136925015753,0.05165826771645765,-0.01146681530345666
0.008788766925015753,0.05165826771645765,-0.01246000442485349
0.008789396925015753,0.05165826771645765,-0.01179787834392207
0.008790026925015753,0.0480081154854387,-0.01212894138438778
0.008790656925015752,0.05165826771645433,-0.01179787834392237
0.008791286925015754,0.05895857217849976,-0.01080468922252358
0.008791916925015754,0.05895857217849976,-0.01014256314159277
0.008792546925015753,0.05895857217849976,-0.01014256314159322
0.008793176925015753,0.05895857217849976,-0.01113575226299035
0.008793806925015753,0.05165826771646097,-0.01014256314159322
0.008794436925015752,0.04800811548544036,-0.009811500101127206
0.008795066925015752,0.05895857217848482,-0.01047362618205772
0.008795696925015754,0.04800811548543704,-0.009811500101126603
0.008796326925015753,0.04800811548543704,-0.009480437060661043
0.008796956925015753,0.04800811548543704,-0.009480437060661043
0.008797586925015753,0.04070781102339825,-0.01014256314159246
0.008798216925015753,0.04070781102339494,-0.009811500101127206
0.008798846925015754,0.05165826771645267,-0.01047362618205908
0.008799476925015752,0.04800811548544368,-0.01080468922252389
0.008800106925015753,0.04070781102340822,-0.01014256314159246
0.008800736925015753,0.05530841994747705,-0.009811500101127055
0.008801366925015753,0.05165826771645765,-0.01014256314159277
0.008801996925015753,0.05530841994747705,-0.009811500101127055
0.008802626925015752,0.04070781102340822,-0.009149374020195783
0.008803256925015754,0.05530841994746875,-0.009811500101126453
0.008803886925015754,0.04800811548544036,-0.00948043706066014
0.008804516925015753,0.05165826771645599,-0.008487247939263459
0.008805146925015753,0.04800811548543704,-0.008487247939263459
0.008805776925015753,0.02975735433034052,-0.007825121858332038
0.008806406925015752,0.04800811548542044,-0.007494058817866176
0.008807036925015752,0.04435796325442097,-0.008156184898796694
0.008807666925015754,0.04800811548543372,-0.006831932736933851
0.008808296925015753,0.04435796325441433,-0.006500869696468291
0.008808926925015753,0.04070781102339494,-0.006500869696468291
0.008809556925015753,0.0626087244095104,-0.006500869696468291
0.008810186925015753,0.05530841994748202,-0.007162995777399712
0.008810816925015754,0.05165826771645765,-0.005838743615535966
0.008811446925015752,0.05165826771645765,-0.005507680575071159
0.008812076925015754,0.05530841994746875,-0.00583874361553717
0.008812706925015753,0.04435796325441931,-0.006500869696467839
0.008813336925015753,0.05165826771645765,-0.005507680575070707
0.008813966925015753,0.0480081154854387,-0.00683193273693355
0.008814596925015752,0.04435796325441931,-0.007494058817865273
0.008815226925015754,0.04070781102338995,-0.007494058817865423
0.008815856925015754,0.03705765879238761,-0.007162995777400013
0.008816486925015753,0.05165826771645599,-0.007162995777400164
0.008817116925015753,0.04800811548543704,-0.007494058817865875
0.008817746925015753,0.05530841994747539,-0.006169806656003031
0.008818376925015753,0.04070781102340822,-0.005838743615536869
0.008819006925015752,0.04435796325441101,-0.007494058817863617
0.008819636925015754,0.05165826771645765,-0.00650086969646799
0.008820266925015753,0.05165826771645599,-0.00616980665600273
0.008820896925015753,0.04800811548544202,-0.006831932736933399
0.008821526925015753,0.05895857217849976,-0.005176617534604846
0.008822156925015753,0.05530841994748036,-0.004514491453673424
0.008822786925015754,0.04435796325441599,-0.00484555449413778
0.008823416925015752,0.04435796325441599,-0.004183428413208165
0.008824046925015754,0.04800811548544036,-0.004845554494138383
0.008824676925015753,0.05165826771646097,-0.00418342841320681
0.008825306925015753,0.05895857217849976,-0.003190239291809678
0.008825936925015753,0.05895857217849976,-0.003521302332275389
0.008826566925015752,0.05165826771646429,-0.0038523653727411
0.008827196925015754,0.05165826771644769,-0.004183428413207262
0.008827826925015754,0.04435796325441931,-0.004183428413206961
0.008828456925015753,0.04800811548543538,-0.0038523653727411
0.008829086925015753,0.04435796325441599,-0.003190239291809678
